Label, CenterX(mils) from left corner, CenterY(mils) from left corner, Radius(mils), Suitable for Bellatrix team?
134, 2657.28, 2206.7200000000003, 16.191885986328124, No
135, 2554.88, 2206.7200000000003, 16.191885986328124, No
136, 2452.48, 2206.7200000000003, 16.191885986328124, No
137, 2350.08, 2206.7200000000003, 16.191885986328124, No
138, 2247.68, 2206.7200000000003, 16.191885986328124, No
139, 2155.52, 2206.7200000000003, 16.191885986328124, No
140, 2053.12, 2206.7200000000003, 16.191885986328124, No
141, 1950.72, 2206.7200000000003, 16.191885986328124, No
142, 1848.32, 2206.7200000000003, 16.191885986328124, No
143, 3845.12, 2196.48, 16.191885986328124, No
144, 3742.7200000000003, 2196.48, 16.191885986328124, No
145, 3650.56, 2196.48, 16.191885986328124, No
146, 3548.16, 2196.48, 16.191885986328124, No
147, 3450.88, 2196.48, 15.361024169921876, No
148, 3353.6, 2196.48, 16.191885986328124, No
149, 3251.2000000000003, 2196.48, 16.191885986328124, No
150, 3148.8, 2196.48, 16.191885986328124, No
151, 3056.64, 2196.48, 16.191885986328124, No
152, 4331.52, 2186.2400000000002, 15.361024169921876, No
153, 4234.24, 2186.2400000000002, 16.191885986328124, No
154, 4142.08, 2186.2400000000002, 16.191885986328124, No
155, 4039.6800000000003, 2186.2400000000002, 16.191885986328124, No
156, 3942.4, 2191.36, 20.48102294921875, No
157, 2954.2400000000002, 2104.32, 16.191885986328124, No
158, 2851.84, 2104.32, 16.191885986328124, No
159, 2749.44, 2104.32, 16.191885986328124, No
160, 2657.28, 2104.32, 16.191885986328124, No
161, 2554.88, 2104.32, 16.191885986328124, No
162, 2452.48, 2104.32, 16.191885986328124, No
163, 2350.08, 2104.32, 16.191885986328124, No
164, 2247.68, 2104.32, 16.191885986328124, No
165, 2155.52, 2104.32, 16.191885986328124, No
166, 2053.12, 2104.32, 16.191885986328124, No
167, 1950.72, 2104.32, 16.191885986328124, No
168, 1848.32, 2104.32, 16.191885986328124, No
169, 4039.6800000000003, 2094.08, 16.191885986328124, No
